1.0082,0.34245
1.2964,0.41876
1.4975,0.48772
1.5734,0.51959
1.8554,0.60686
2.3954,0.75504
2.7557,0.8693
2.9435,0.9181
3.4002,1.05702
4.39,1.3265
5.092,1.5317
5.4391,1.6083
6.4935,1.8839
8.045,2.3172
9.565,2.6908
10.302,2.7931
12.299,3.2434
14.805,3.8541
18.267,4.6193
19.837,4.8925
23.78,5.5198
30.45,6.8086
36.503,7.8608
46.742,9.5574
60.349,11.454
74.462,13.338
87.81,14.621
110.14,16.879
127.76,18.718
156.34,20.875
209.48,23.956
292.48,27.808
357.92,30.745
395.13,32.188
487.54,34.676
700.64,39.106
919.6,42.366
1237.3,45.238
1822.6,49.85
2276.8,52.026
3272,54.749
4682.9,57.949
6405.1,59.945
8725,61.298
10246,61.985
