1.0292,0.47155
1.1362,0.50231
1.3398,0.59864
1.4852,0.65444
1.7586,0.76436
1.9334,0.84531
2.2426,0.96762
2.5377,1.08556
2.9557,1.2426
3.3723,1.39
3.8476,1.5821
4.336,1.7647
5.1553,2.0492
5.7384,2.2273
6.7111,2.5717
7.563,2.7951
9.066,3.2364
10.344,3.548
12.976,4.2157
14.683,4.6618
16.277,5.1111
18.571,5.5871
22.355,6.3581
25.089,6.9106
30.702,7.864
34.886,8.498
42.516,9.7544
48.709,10.6321
61.351,12.168
74.77,13.261
88.17,14.621
108.34,16.352
139.88,18.393
169.77,20.045
200.19,21.472
250.09,23.535
292.48,24.922
369.92,27.002
441.63,28.428
549.42,30.537
666.84,31.872
846.9,33.454
1011.1,34.617
1284,36.23
1664.6,37.482
2203,39.566
3038.1,41.402
3748.7,42.347
4741.2,43.186
5567.7,43.67
7218.2,44.791
8761,45.289
10162,45.535
