5e-10,1.8803880893409165e+25
7.537177465080979e-10,1.0968160052731357e+25
1.0074354930161958e-09,7.462935686310115e+24
1.2611532395242935e-09,5.699711094326075e+24
1.5148709860323912e-09,4.7015472240221294e+24
1.7685887325404891e-09,4.0304280305680426e+24
2.022306479048587e-09,3.590739891061062e+24
2.2760242255566846e-09,3.2612037003014937e+24
2.5297419720647825e-09,3.019486626064912e+24
2.7834597185728804e-09,2.7956853735147117e+24
3.0371774650809783e-09,2.638789104828929e+24
3.290895211589076e-09,2.490697989741878e+24
3.5446129580971738e-09,2.3060900086974485e+24
3.798330704605272e-09,2.1766702531534546e+24
4.05204845111337e-09,2.0545136456487382e+24
4.3057661976214675e-09,1.9392125720658351e+24
4.5594839441295654e-09,1.8303822939422346e+24
4.813201690637663e-09,1.7612434783805766e+24
5.066919437145761e-09,1.6947162351844782e+24
5.320637183653859e-09,1.6307019177374753e+24
5.574354930161957e-09,1.6307019177374753e+24
5.828072676670054e-09,1.6307019177374753e+24
6.081790423178152e-09,1.6307019177374753e+24
6.33550816968625e-09,1.6307019177374753e+24
6.589225916194348e-09,1.6307019177374753e+24
6.842943662702446e-09,1.6307019177374753e+24
7.096661409210544e-09,1.6307019177374753e+24
7.350379155718642e-09,1.5996073018614913e+24
7.604096902226738e-09,1.5691056055902103e+24
7.857814648734837e-09,1.539185522990199e+24
